date,close,volume,rsi_14,ema_200,macd,macd_signal,atr_14,adx_14,return_1d,return_5d,return_10d,volatility_10,volatility_20,ema20_ema50_ratio,ema50_ema200_ratio,macd_hist,dist_bb_upper,dist_bb_lower,target,vol_ma_20,obv,tr,bollinger_bandwidth,volatility_regime,bollinger_width_pct,atr_pct,gap_type,day_of_week,month
2025-07-23,25219.900390625,271500,52.2904868164586,24134.42840998055,16.98322876434031,66.14238988846054,159.78557477678572,15.086139315293355,0.0063445445902445,0.0003113435492854,-0.0100564538009468,0.0049472452976433,0.0048129536613632,1.009322731467076,1.0339553781321076,-49.15916112412023,0.0197937497565994,0.0115706892998621,0,289345.0,19527100,172.599609375,0.0320474713500043,1,0.0320474713500043,0.0063356941265391,0,2,7
2025-07-24,25062.099609375,338700,46.97865309389378,24143.658969178505,6.41207800659322,54.19632751208708,166.13922991071428,14.870908883287283,-0.006256994627491,-0.0019652234701831,-0.0115617235335877,0.0050954402555254,0.0040772994817932,1.0086762396044164,1.0337357871742523,-47.78424950549386,0.0253009503584214,0.0063761078091133,0,284835.0,19188400,227.55078125,0.032195330160556,1,0.032195330160556,0.0066291026091272,0,3,7
2025-07-25,24837.0,278100,40.63711089796766,24150.55788490808,-19.899898725336243,39.37708226460242,178.51060267857142,15.67286875109303,-0.0089816740370306,-0.0052626675545597,-0.0124394226698827,0.005234640520584,0.0043099168335302,1.007579402253513,1.0332437406675583,-59.27698098993866,0.0336468470669218,-0.0003514389453783,0,270540.0,18910300,255.75,0.0335893773278399,1,0.0335893773278399,0.0071872852066904,0,4,7
2025-07-28,24680.900390625,262100,36.9156255315168,24155.83492476596,-52.74030632898212,20.953604545885515,186.98911830357144,17.021648659319986,-0.0062849623293875,-0.0163326986048584,-0.0160033321554401,0.0054639106608736,0.0043839406093316,1.006248418320524,1.0325756110683126,-73.69391087486764,0.040636204284753,-0.0028386929998932,1,270095.0,18648200,242.599609375,0.037954396594225,1,0.037954396594225,0.0075762680997893,0,0,7
2025-07-29,24821.099609375,284700,42.04878219312465,24162.454473866543,-66.68495801184326,3.4258920343397588,195.8606305803572,18.441012060425354,0.0056804742343701,-0.0095687216944411,-0.0148715722563516,0.0056178328197056,0.0046508195263129,1.0053811818815246,1.0320953267630388,-70.11085004618302,0.0335284440078327,0.0044994700289622,0,271295.0,18932900,248.55078125,0.0384576238950199,1,0.0384576238950199,0.0078908925737673,0,1,7
2025-07-30,24855.05078125,243900,43.252984900841085,24169.345979412647,-74.14195678176475,-12.087677728881143,192.0570591517857,19.34523558825851,0.0013678351245234,-0.0144667347500954,-0.0141598953253536,0.0056527991106557,0.0046645971957485,1.0046830539156777,1.0316665237131186,-62.0542790528836,0.0310368626665883,0.0071868309278809,0,268000.0,19176800,130.3515625,0.0387545337348463,1,0.0387545337348463,0.0077270837562186,0,2,7
2025-07-31,24768.349609375,346300,40.91483312731572,24175.306214536653,-86.05574495014298,-26.881291173133512,198.8606305803572,20.685161420768008,-0.0034882717656889,-0.0117208855035479,-0.0136630748144482,0.0056295297324694,0.004691048366364,1.0038642981023929,1.0311423226332244,-59.17445377700947,0.0338803939969068,0.0055175443261884,0,270645.0,18830500,321.5,0.0398562139341352,1,0.0398562139341352,0.0080288203984768,0,3,7
2025-08-01,24565.349609375,263400,36.00690532484156,24179.187243341017,-110.60294941311076,-43.62562282112897,205.99986049107144,22.256482548104675,-0.0081959437427822,-0.0109373269970205,-0.0161424350356594,0.0058927600636201,0.0048609096810042,1.0026823898805572,1.030388343991992,-66.9773265919818,0.0418195831665017,0.0003409983426514,1,274140.0,18567100,249.099609375,0.0423769754542182,1,0.0423769754542182,0.0083857898937638,0,4,8
2025-08-04,24722.75,259300,41.83313364666909,24184.59582798439,-116.01850067283522,-58.10419839147022,207.3821149553572,23.715566452060152,0.0064074150430544,0.0016956273358201,-0.0146647654392603,0.0060938781532247,0.0051844357759975,1.0019975801072911,1.0298478723681357,-57.914302281365,0.0332773580646474,0.0077834272468785,0,277300.0,18826400,182.25,0.0415972382916165,1,0.0415972382916165,0.0083883109668365,0,0,8
2025-08-05,24649.55078125,251800,40.00883628523377,24189.22224542982,-124.77855970056773,-71.43907065328972,207.99274553571428,25.070430077161664,-0.0029608040671041,-0.0069114112921977,-0.0164139996154679,0.0061108617207257,0.0051124066976384,1.001229974935287,1.0292344105583364,-53.33948904727801,0.0335744977028792,0.0056071079574081,0,279370.0,18574600,142.798828125,0.0396450943054069,1,0.0396450943054069,0.0084379933485005,0,1,8
2025-08-06,24574.19921875,225100,38.16383067098533,24193.05286207977,-136.23082677698767,-84.39742187802932,207.625,26.51321639552497,-0.0030569142281212,-0.0112995770948843,-0.0256028438603598,0.0054319945325326,0.0051210766228119,1.0003880529882716,1.0285492081132477,-51.83340489895835,0.0340786342839682,0.003563024273151,0,278670.0,18349500,132.201171875,0.0380391331401398,1,0.0380391331401398,0.0084489019622492,0,2,8
2025-08-07,24596.150390625,616700,39.045684014607296,24197.063782761816,-141.89982200891973,-95.89790190420742,212.2035435267857,28.464492191290503,0.0008932609229541,-0.0069523897016061,-0.0185917870414856,0.0053639391427296,0.0051049447185729,0.9997034797314618,1.0279126158537215,-46.00192010471231,0.0309948471172678,0.0053776523533197,0,298525.0,18966200,290.048828125,0.0368454584257037,1,0.0368454584257037,0.0086275104094203,0,3,8
2025-08-08,24363.30078125,312600,33.575750972947816,24198.71788224926,-163.29914811503477,-109.37815114637289,214.31431361607144,30.295225455976656,-0.0094669127354072,-0.0082249522737462,-0.0190723202782139,0.0054371972160106,0.0052059589765567,0.9985837434005724,1.027017213973831,-53.92099696866188,0.0410886363882533,-0.0006597588751782,1,301655.0,18653600,258.650390625,0.0406310133253692,1,0.0406310133253692,0.008796604185136,0,4,8
2025-08-11,24585.05078125,241100,41.92035488205784,24202.561990697028,-160.51458425954115,-119.60543776900654,221.95368303571428,31.84112816144118,0.0091018044718578,-0.0055697371348252,-0.0038835539975441,0.0061871475111583,0.005715815092906,0.9981149468642212,1.026420741451725,-40.90914649053461,0.0308974970418226,0.0095876484025406,0,300735.0,18894700,253.400390625,0.0410989763245655,1,0.0410989763245655,0.0090279936783774,0,0,8
2025-08-12,24487.400390625,237000,39.56331573504213,24205.39620363164,-164.29349463048493,-128.54304914130222,226.5500837053572,32.290695866309555,-0.0039719417907191,-0.0065782290340293,-0.0134441754797987,0.0058835091888399,0.0055992858367894,0.9974933717900883,1.0257260443825655,-35.75044548918271,0.0334184322562989,0.0069409604633668,1,300520.0,18657700,236.94921875,0.0408668379590003,1,0.0408668379590003,0.009251700061722,0,1,8
2025-08-13,24619.349609375,236000,44.1342502385448,24209.515142992263,-154.85602525294962,-133.8056443636317,222.95005580357144,32.70815159225876,0.0053884535167121,0.0018373087246135,-0.0094830291818517,0.0062168280432048,0.0057881882678236,0.9972601562555168,1.0252133781436212,-21.05038088931792,0.0254815909375787,0.0122726352341483,0,300880.0,18893700,177.150390625,0.0384808726805667,1,0.0384808726805667,0.0090558873138822,0,2,8
2025-08-14,24631.30078125,270200,44.54336601487869,24213.71201501473,-144.74388567365168,-135.99329262563572,210.1643415178572,33.003688654418106,0.000485438164071,0.0014291013051537,-0.0055332240656489,0.0061622493489056,0.005759980307034,0.9970944877098724,1.0247302025569174,-8.750593048015958,0.0231383514918089,0.012855552658452,1,302220.0,19163900,76.75,0.0367400710851306,1,0.0367400710851306,0.0085324093674273,0,3,8
